LOAN_ID,NMONTHS,FORECLOSURE
JGDHJDJCGEFC,33.204,0
GHJEGIIAFJIC,50.112,0
FJJGBDIAGGAJ,64.341,0
ECEDGBDCCJFJ,52.443,0
FEIGCIFDFGDC,43.835,0
FIIFJAIDIGBI,59.348,0
JBGEACBGBAHB,80.476,0
AAIEGBBGCBFE,30.598,0
DGFBAHECCDIA,35.252,0
EBCDDGDBFIEA,30.725,0
GAFBCGGIABFG,24.798,0
GACEEAEBIBEJ,31.568,0
CGIHBJCECFAG,92.117,0
JFICCJEIDDFA,63.061,0
IHGAIABBIIDI,54.848,0
GJGHJJACGFFE,78.517,0
JJJAEIDEAAAA,70.567,0
EGIIBCGBJFGD,30.68,0
AEGCCAFCJEIE,111.185,0
JDHAECBCBCHC,15.42,0
HBJAIDADHFIE,83.547,0
CECGHAGCBBIH,17.056,0
GHIJECEICBCG,77.064,0
GAEGIHEJGEGJ,85.315,0
EBJGJAAEHEFA,80.836,0
GCIDBGCFGFGC,47.887,0
JHFEJJGBBHAF,102.431,0
IBIAFBAIGCCB,73.527,0
FHFCCHHHGDAH,80.295,0
ICJIHJHEABHH,75.11,0
EIHJEADJJFJG,77.692,0
FEHAJJHGAEBC,39.371,0
FEEBCEGEECJG,78.506,0
FGCIHAECDBHF,88.854,0
GHCEJGJEAFAG,19.091,0
JGFDEJFDHCJG,69.553,0
GEHFCEADDFBF,112.47,0
CFIHGFJHJHAI,62.923,0
GFICGDDCHGDH,63.423,0
HEAFBEIFJGBJ,25.574,0
JFFDEGJEEEEI,60.134,0
AIJCJBHBJCCD,35.726,0
HJHFHFECHHIG,18.881,0
EGFIEFBIGBAD,54.84,0
IGABJAGDDJBC,28.11,0
HGBBBHGDBDBH,67.827,0
ADJBBAEBHJAE,22.16,0
HJGEBCAJHCAD,42.132,0
GGHFJBICJDHB,43.458,0
IDGFHGHCJCIB,68.791,0
FAIDHHFJFIGJ,32.989,0
ACCBFCGGCFDI,60.224,0
JIGBFHJHAIJE,89.4,0
IAGFBFCAIACB,27.593,0
AIBFEJDIBBAG,18.722,0
EDFCADIGIGFF,12.022,0
AFGIFEBIIDFF,39.482,0
IBIHJJFBJDHC,35.046,0
EEFDFJGCHHEE,38.316,0
ACFJHHACCDDI,87.712,0
DAEIHJJBFGGA,30.535,0
FFDDCBGEAGHJ,104.51,0
IAIDGCCAGAFJ,16.769,0
FBHCCHJFFGCG,73.15,0
CAABDGGGJDAA,24.377,0
JJCBEFCJJCCC,35.402,0
DEADCCDJCHGB,6.128,0
GBHCHHBAJBIE,72.44,0
JCBGHGHDCACD,83.959,0
HAGCJEGJAHHA,87.966,0
EAFGEDBFHCGB,72.613,0
FGGBFJEEHHHA,106.431,0
ICHCHEEIAGCA,14.982,0
HHBFFIHEJEFD,28.21,0
EACBAECCDCCA,64.996,0
EICEIIIECDJH,99.681,0
GCABEHCIAIFF,76.354,0
AFJEHHJAGAHI,67.14,0
EEFJHHJHDHGE,98.788,0
DHIDBFAJAEJG,41.688,0
HJAJIFFCGEGC,75.926,0
HJGGIGEHBEIG,54.884,0
FDCJDAJHFFFB,44.166,0
DHAIFJDGEBHB,48.545,0
GIBGBHGCJDAB,78.735,0
ABDCHCIJFAIC,69.166,0
EJDDGIHDHABF,30.895,0
FEEIAHJCCBEG,30.728,0
FEBCBDJHACHG,97.105,0
EBEHGBJCABHE,89.399,0
EDIDIBFJCBIC,62.326,0
GDJDGBDGABDJ,54.864,0
CIADBGIDBDAF,65.531,0
ECGFIJJDAGDB,26.607,0
GHEABBFIDDIE,52.995,0
HIDGFEIDEDCJ,26.076,0
EHABEJICJIBF,178.395,0
DFEIHHCABGAJ,69.467,0
HCCAGFAFIACC,42.025,0
AIGHCGFJDBEB,58.036,0
EEEBEAGDBAFD,32.41,0
AGFBCCHICCAJ,18.543,0
DDCBCFFFHDCE,92.581,0
HGGCEEFFCHBA,103.868,0
IDEHCDCAJGHB,48.738,0
AIIFEACJHDBC,48.559,0
EIJFHHJAEJDH,73.947,0
FFGGFJDAADAJ,17.474,0
CHHHBAJHGEIF,31.447,0
JFAGJCAIFEIA,77.385,0
AJAJICBGBCII,66.562,0
JCIFGDFCJGDC,48.239,0
HFBFEEBFHHFF,58.214,0
FGFGAGFCDGEE,62.633,0
CJHCDEGGBFCF,62.728,0
IECIEHEBJHGB,73.966,0
HCIEIECFJJGB,93.174,0
CJGJGEIAEEGA,36.333,0
JICGBHAIIIFJ,26.66,0
EHBIBBGHFFCG,22.686,0
IEIGCBDHHIDD,39.964,0
IJHGGBFIBIBB,36.934,0
CHEJEAFEDIBE,50.551,0
EFFFEIGJFBGF,74.483,0
AHEIBBJGJEGI,31.081,0
IBJABBIABABE,44.423,0
HJDDFAGGGDHD,29.503,0
JDBCICFHJAIA,94.764,0
FFHHDEBFDADI,66.752,0
GEJAJJDEJECC,29.119,0
CFBBCAFCBDJF,25.105,0
EIEEJIHJEIBA,15.61,0
HJEEIJHDCAEC,73.444,0
GBBDFFIBDCDE,29.09,0
DCCEFGAEAAFC,96.515,0
DFDFGIHGDDIC,42.956,0
DFCDJJEFEDHI,75.068,0
ABDGJBEJBBGD,74.906,0
HCGDJACAAGFA,75.825,0
AHADDCCGDEDF,27.293,0
AGFBEAGCEGHH,28.49,0
JGDIJGBIGGEC,67.477,0
CBFJHFICJJIJ,32.257,1
IEAIGHCCEDIG,73.402,0
ICHFCGJCFBGB,86.478,0
DDJDEJCFIDGI,23.413,0
ICBBIIHDHIJB,21.269,0
FADFHGGDCBDI,82.201,0
HFIIAJFGGJGI,92.085,0
JJFGGAGAEJEE,25.656,0
AEGBAAAHHAGH,13.214,0
GGGDFIIFGDDI,58.5,0
HBCCDICJHHHC,78.979,1
GEDHFBEJEBEI,37.09,0
AIGGBCFGFHJH,76.978,0
DGGEDHJHCGJC,100.879,0
HHDHHEFFHEEA,40.981,0
EFBBDIFEDJDA,96.974,0
CHJAGGFDFDJB,87.389,0
DBHIEAIACCGH,87.153,0
HJHFCAEJDAHI,96.575,0
FCGCIHFICCEC,25.916,0
EJFCIABAGGAC,61.989,0
CEGJDDIGCCBF,52.419,0
GAJCFEAJABID,73.037,0
HEIJHFACJGEJ,70.827,0
HHJCBGEFHFEF,58.716,0
GICIFIACAFGG,72.722,0
GGAHBAHEIEEC,84.625,0
HBGBCGHDHCGF,87.828,0
AJDIEEIJJGJJ,66.318,0
AICHDADAIBDF,71.509,0
ABDEGFIIGCJH,21.831,0
FIIFAIHAHABI,37.784,0
FGEGCACFBJBJ,23.627,0
CBHEAEDADJCD,70.284,0
GCGJHDJJGGAC,29.414,0
IFIJBHFACDJJ,86.659,0
EBBFEHIACDJC,49.56,0
IEBBFCGCGGBC,56.81,0
HIFDBFHDGEBA,56.942,0
IFCIHAGCDFHG,85.678,0
JHCDCBACAIIB,78.885,0
EDEDBIDEHADA,65.704,0
DIEEFDECHBAB,67.236,0
JFCHADGBEJAI,63.736,0
EBGBBEAHJIDG,76.455,0
FCAHEBEJJEII,49.764,0
EGAEJBEEICFJ,82.334,0
JICDCEEGHDGD,23.899,0
EBHADFBFEIJJ,69.603,0
IFDGDJHIEBHG,96.041,0
GDGDJJFCBBFA,71.556,0
DHFCHBAADBBB,69.191,0
HGIGDFFCGBDG,40.776,0
IJHHDJDHEICB,41.658,0
HBJCIJIFJFII,29.281,0
CFHEHBAFAIDA,43.2,0
ECJEFCBGDIDC,87.49,0
FJCAIDECAJED,78.918,0
HGCIHGBCCEDJ,33.076,0
DBJJCDDEGHCF,30.329,0
DEDEJAHAGGGA,40.524,0
ICEAHJFDJCIA,39.338,0
IHDDGFBCACDF,69.913,0
HGDABJEFGIAF,119.561,0
GBFDGCFCDFJC,84.526,0
DEBHHDHCBEHI,72.928,0
CDJFIJBFJFCJ,111.215,0
JGBCAHFJFICB,65.756,0
CDGAFHDBDHEC,14.001,0
HCJCBCIHGFBA,20.285,0
FADAEJCJJBBA,26.206,0
GDHEHIACCHHH,109.148,0
FECBJHBDDFFA,18.615,0
GAGFDJFAFJJA,90.837,0
CBIGEAJEBIJF,36.732,0
HFJDIIJFDGFB,14.072,0
HDAGHGDDHBGC,79.918,0
CAJHEHDBCEGC,46.472,0
JCEFEBJJCBHB,62.316,0
DGCDAGCCJEEG,59.592,0
GBBFECEHJAFJ,7.132,0
ECGJFHDACIAJ,61.966,0
IIFBDFIEJIBH,91.917,0
CGBFAIJIGGDD,69.128,0
EAGCFFEECHBC,72.526,0
ABCFACCCDFDB,50.902,0
JFDDIJAJHIFG,64.111,0
EIHFDJDJBAEI,40.197,0
CEBDHEGBBIBD,10.177,0
IAJDCDDJHIAD,78.936,0
HCGGCEJIHFFB,23.229,0
DACBHBAFHFEE,86.936,0
ICBDCEFEJJDF,78.828,0
IACJBGACFABG,22.585,0
CEBADBJDBDCJ,34.506,0
FAHHBICABIEA,72.858,0
JAAFDJJFGBDB,35.251,0
GEIHFIGEFHIA,20.784,0
EBJJIAHFHDCE,87.557,0
CIFCBCFJIFAJ,69.153,0
GIIHFICCFHCH,119.958,0
GIGDHIAJFAAA,14.099,0
HHDBIGGBEAFI,56.528,0
FJHBJHFIDCFG,48.036,0
GFCFHHCICGFF,91.603,0
EJCIGBDCDBGB,32.556,0
DGDEHDGHCGIB,81.909,0
CHIDCGJAEHIC,96.308,0
AACFIDJIHIEH,31.255,0
JFAJDCDGFFJA,68.887,0
IIACAHDEEGCD,67.254,0
EFAAHABJADDI,71.689,0
JFIHGFHDHHHF,45.834,0
JJFAAEHCDJEB,55.272,0
JGHJJEDGBFCC,53.246,0
HFDEGCIFGCIA,88.941,0
GECJIJEHGIBI,28.8,0
ABFDEDDBIBII,41.682,0
GBDEFBHHFGDI,67.557,0
EJGEBGIBCHEF,56.298,0
AHAJCGFFFFFG,29.703,0
EHIDAJCFGDDD,57.622,0
AGAAFCFGFJFC,123.261,1
JJCCFFCDHABG,42.608,0
ECIHAAGDFJCB,69.076,0
JIAGCHEFAJAH,95.215,0
HHEAJDFEFGBB,65.163,0
DIJIABECJACG,85.325,0
CCAEHCFGEBFE,40.197,0
EGGICHDBCJEI,34.308,0
IDGEHFJJHAIE,38.871,0
FDFAAIBFGGED,47.438,0
FICFGACBEDBE,73.345,0
GDAFDDHFCGDE,71.328,0
HEGDIJIEDAFB,99.422,0
AHJFFGBGJCIE,33.668,0
JFHIGDHGAIFG,40.126,0
GBBHGIDHFGIJ,43.479,0
IJCBHCHIDCGA,14.455,0
GFBECAAABACI,43.546,0
AEEFHGDDDJCD,40.768,0
ACBGAHBBGHAE,84.165,0
JACCJBBIFGEA,24.641,0
JIDFHAFHFGFH,44.298,0
FEACEHGJEEDG,33.789,0
IEEHCBGGIHBB,13.392,0
JCEFAJEDHIGJ,28.117,0
IFDGJFJHGAFG,88.888,0
GDAIBDJGCEFB,45.596,0
GFFGAGJBHHCH,51.274,0
FFIDIBIEFBCA,85.402,0
HGJIIJIIHBDJ,23.937,0
AADCJBIEFIFC,31.433,0
ECJIEFDJACGG,85.082,0
CGJHIBHBAEEA,60.546,0
DHICGGCBFCHJ,90.332,0
HFDDDCCBEBIF,35.494,0
CAJGJAJFJDJC,63.761,0
AFBCDCGHACBG,37.817,0
FEHGEGFIJABF,50.786,0
AHBIGJHGBAAI,40.703,0
JIEEACHHJJDG,80.243,0
AFGEBDGJAGEC,56.826,0
AFEEEFJEAIFC,67.777,0
GJAIADHEFHHI,12.679,0
JHCEJCCJAGAA,68.454,0
JDACIECGACJH,94.717,0
DFDFBGFGAIEI,72.356,0
JCDJJFJBEABI,37.81,0
IBBEBBCFFIFG,103.285,0
HIFGHGHBIEEI,40.129,0
HDAGCAAAHBCE,56.876,0
GEAJIDDDHEEI,37.774,0
HBBADAIBGDBG,50.806,0
JIJIBBBEEAAB,73.06,0
HHHDEHEAJGBE,82.681,0
JCEDIBECJABA,67.179,0
DEIFJDJDHAIE,73.891,0
ECHCGHHGJAFA,83.229,0
GDHHHIDEIBAI,67.385,0
HJFGCBDBJBCB,87.929,0
JFEJJCJJGFGG,41.943,0
DDCBIDBJEHED,85.623,0
GHECCIHFHFHI,79.239,0
FCIJHDEFFJII,100.053,0
DBEGCHCECHCC,96.267,0
HCGJGIBFHGEG,77.997,0
IJBAEFABDEIG,47.545,0
FCCAHFBEJFFD,59.521,0
EBBGIHHIFDEE,44.549,0
CDGHJJGCGCJJ,34.077,0
CCIHBJGGHIHC,47.076,0
DDIJHAGJBCIA,10.573,0
EGIEHEIFDDGF,83.936,0
DDEAHCIBJJHI,79.868,0
IJFDGGIEDGHD,19.783,0
GFJFCAFJCDHE,53.491,0
JCCABJDADGBB,8.896,0
DHBBJJIIAABJ,79.106,0
AABEEJAHFIAG,21.843,0
HHDCGCBDAHEF,50.994,0
ECJDCGEAICFE,80.282,0
DACIAAEEADCB,53.844,0
DDHEHCAECCBB,82.341,0
DAGHICBBEEIC,92.422,0
HCDADGDJHGDH,69.235,0
EBIIEBJGFHHA,27.87,0
JBDIDEAACCJE,61.38,0
HJFJJJCGCHIC,56.96,0
ABDEEJDDGGIA,78.251,0
GFJHBCAGABCF,66.965,0
JHGACGIDCIIC,49.925,0
GGHGEIFHJAFH,46.511,0
CBCFABIJIBHE,44.53,0
FGIEIDFDEEDF,24.618,0
CACJGHJIGEFA,82.467,0
EBBIFIECBBDJ,58.294,0
GIEAABAJHFBE,77.52,0
GHDBEIBJDJGC,82.454,0
IABGDDIFJGJB,105.522,0
HHAFDFIBEEBC,35.132,0
CEFICBBIIGHD,82.505,0
DEGAGBIIBHII,38.358,0
FICAJGCCIFIF,54.886,0
GCIDGGEBBAJH,72.111,0
CIDEDFEJBCHG,83.158,0
EBEECBJEAJCC,74.263,0
IIAGGFFFAGEH,53.904,0
IAFDFBAHBIDC,67.033,0
EGCJJDEJAJGH,62.392,0
EIBEDEGAECIH,82.43,0
IDHCHICCHEEF,11.119,0
GFFCDHCJCJJJ,82.314,0
DDCJHJJHBEHA,102.808,0
EFCGIBHJHIAE,87.041,0
GEHCBHFCCJDB,54.978,0
EEGAGBIJCACI,23.677,0
EFFEIDIIBFAB,59.573,0
IFAHBGAHAGEF,52.111,0
JCJEACIDHEIF,39.41,0
EECEAFEBHAIB,95.622,0
AHHCCHCIIJHG,47.658,0
FBEHBBGIDJGF,34.546,0
EBBIBFGABBIE,52.643,0
DFGBBDDBJCFG,23.579,0
FEEBDEJDDFEH,24.305,0
EFCFEDFCFBAF,40.768,0
IIFHFHADBECI,47.878,0
CFIDBDIGFACG,98.937,0
EICBGFBBDFGH,61.836,0
CDFIJFJACDEJ,25.218,0
GDBCGGFIBEFH,93.132,0
DGFFFFEFFFIC,22.078,0
DIBIBHFIHBJB,34.597,0
IFJEHHIDIFGC,35.309,0
JEGEFJFCECHI,32.657,0
ADJGAGIIFJAB,32.349,0
EBHCFFHHGICB,34.915,0
DCDGACGDADIG,41.539,0
JACJJBIEAIAG,52.873,0
DBGCICEDIAFG,121.257,0
GIECJDCBDFIG,42.2,0
EGHGIGGIBEBA,74.307,0
HECABHABCCEB,36.929,0
FICJACHFDACG,95.792,0
GIFFICIIIAGA,61.95,0
AFHJIFAGAGFG,59.818,0
IIHDEAACJFGB,93.316,0
AGIICAIGBDDB,83.158,0
ABBDDAIGIJIE,84.66,0
AEAJIIFFJIGI,69.569,0
EHDFIFFCBADJ,50.899,0
JJEIDIEBICEA,80.632,0
AAHBIBGCJDAA,32.248,0
ADFIJCFJBHFE,103.045,0
HEHBJDHIGIHA,83.964,0
EBJEGABBHHCC,66.744,0
HICFBFEDEJGA,58.253,0
JAEJIDCIFBGC,70.84,0
JCGDFAAIEDCJ,93.667,0
GGBJHFABGDIF,53.668,0
JJJBACDHIIBE,41.934,0
DEBCEJBCDDAB,35.076,0
HDGEFJFECAFE,28.868,0
DFBFFFGEIGGA,88.252,0
DEGCGACHGDEH,84.194,0
ECEFBAHCEGDI,65.939,0
AEBBJJGCJJFC,36.098,0
ADJHEGDHCADA,28.814,0
GIHADIIIIGGJ,37.503,0
CBJGEEDGCAGG,92.763,0
DADEEAEGFGFD,20.129,0
DJJJJEGHBEEJ,46.351,1
JGFCDIGFDFFF,26.852,0
JJFIDFDDBGHC,19.463,0
GJJICFJBFGJC,78.64,0
HFAFEGCCDAGD,33.655,0
FBEDFHCJGCAG,78.649,0
IIEGGDGEIEHC,46.167,0
IHIBHBCDFGHI,60.353,0
FGAIBBAEJEHF,78.674,0
AHBJGJEIDDBH,89.248,0
HAHFGJIICIGF,45.781,0
EEEDAIJIADDG,61.56,0
GHHIIABIIECC,93.205,0
FIFDFIBIFIGI,40.325,0
JADDIFFGIFHD,99.938,1
AJJBHAHDAGJB,88.268,0
CAAGEJJIFHDA,27.814,0
JCGDEFHGFCCB,46.665,0
EAJAHEFDGHHB,27.876,0
HHJBJIFAGAFJ,39.388,0
DCFFGAGIJDII,101.102,0
DGAFHAGHFCEA,41.407,0
HFJIGGEACCAA,31.172,0
GHAGCGFFIJEI,58.573,0
GGECAHCCCCIC,35.692,0
ABFIJJJEFAAC,89.757,0
FHEEJBDJJCGI,56.382,0
JDHFHBDFBGBH,45.737,0
HFJBIHCHHFJD,98.004,0
FAHIBBHFHDAG,38.312,0
FHFDBGACHHED,33.682,0
JIDCAEFAGFDB,36.676,0
DDIDCDFFFBCC,39.965,0
EAGCDGDCBGAF,55.969,0
EHEJDBEJEHAA,72.595,0
JHAEABCDFIEC,46.997,0
AAGJFECIFCGE,35.76,0
HGCFEIECFCDG,29.505,0
AHHIFHEDECBC,28.492,0
HBAIEDACGDBG,61.269,0
HCEDBGAHBGGF,21.993,0
CAJAJCAFECDE,42.204,0
AAAGBDGHGACB,90.078,0
EJHGIBDCADCE,98.494,0
DFACBHECFHHJ,97.746,0
CAIIFFABCAIC,43.925,0
CHECCIJFFHCI,27.544,0
FBDAFDGDICAF,40.952,0
DDAFECJFBDJB,32.294,0
GHJIGIAIGECD,42.152,0
JBIGCCFIAFGF,60.106,0
HAJJEFGGCFBJ,68.713,0
JDIGIBIBFFJD,50.538,0
ECDHJCGFCGJC,60.324,0
FGECHDHDBDFH,20.287,0
AJFDCEABIIEJ,61.8,0
EBBFHAGEDGBE,80.036,0
ABJJHDHDGGIH,56.371,0
FEHCJGEFDEBF,51.61,0
JDJADIFEGAGH,25.417,0
CAFEBACBDHFA,20.967,0
CJDCFAECHGID,81.165,0
IBAAEAEEBDIH,76.355,0
GHDIBCCDHEJG,57.986,0
EDDJIJHFCJJB,61.106,0
AGGEECCEGIJG,26.814,0
ICJCFAFFCAAA,25.576,0
HFBECHCIIJIA,41.084,0
HGEHFGGDFADE,27.385,0
AEJJIJCCADED,16.629,0
JIECGBDEJGBB,34.684,0
HIGIAJFDFIEB,9.32,0
AJIIIGBBDFEG,73.86,0
FIGHCHJJCAGD,90.111,0
GDFDIEFDGCGA,40.27,0
EACFEJCBIFCE,85.557,0
ACFHFAGJGGIE,75.301,0
ICEBCIGIBBID,69.569,0
DADIJGEBCIFE,74.475,0
DCJHJIEBGAGB,43.66,0
CCFICIEJHBIA,46.649,0
IJJCIABCAIJA,45.497,0
ACCCEDJJDGHE,45.388,0
FIJGHDAJGEFA,53.167,0
ECFAEECIGBDF,72.749,0
GBFGFDHAAJEA,43.937,0
HCJJCFHECBBI,73.471,0
FAFDAEAHEBIB,58.639,0
GAFHJAGAAACH,58.67,0
AIGJEJJCGCJD,68.312,0
AHCDAJFDEEGD,61.382,0
FEGFHBHGGEAJ,78.29,0
DIEJJJCCFFFG,95.315,0
IICDABGEDJFI,38.16,0
DDJHAHFJDDAF,33.015,0
ICJCDGEIBCBJ,61.62,0
FGAADCIEHJGH,49.479,0
CDHEFJFHICIA,72.671,0
GJGFEIAAECCA,13.39,0
IFIDAFIADEIF,71.653,0
GCHICAGICGCA,67.784,0
FBCHIEDHDBAB,49.133,0
IBHHIHEBFADB,67.134,0
HGJHHGACGAIF,4.556,0
FDHACJHEBHJG,42.189,0
FEIJJHAHJBHG,68.265,0
GHBFDFDIGIDA,43.087,0
HFBAIFFDJIDI,84.395,0
EJDBEJJECGAA,82.809,0
AJEFBBAIACJA,76.851,0
DJBBEBDEFDFF,79.622,0
IFBFEAAAHJIH,27.979,0
HFFIAFBHFIAJ,84.632,0
HFGJDIFFGJII,61.383,0
FFCECAADDGGB,97.878,0
DBDJFEDGCEGJ,63.015,0
HJDCJJHCHBIC,26.458,0
IIFBHGABABFJ,73.845,0
EFBEDGGGJBHB,30.237,0
GAEDGCBBFEJF,47.142,0
CECGFCJAJDJE,39.018,0
HHEEEFDBDBJE,40.43,0
HJEIHJIFAJBB,49.009,0
EHCHCFCDDIBB,58.98,0
FJHDGDCDHACB,57.036,0
JFIGDBHHADAJ,42.393,0
HIJEGEAGHCCG,72.423,0
AJFCDICGIDDA,25.752,0
JBIEFHHBHHAC,49.419,0
GGBAEAIGJGGA,62.074,0
AJDFFGAHCCJH,33.372,0
DHDFJFHDDBHD,29.831,0
IDEDEFDIABEH,56,0
AFIJDDGJFFFH,63.827,0
HGJHEJAGFIAF,63.015,0
IFDHABAJHCDC,31.989,0
HCCFJHJJCCBH,56.005,0
IEJFJGJGEGAA,89.83,0
CGHDJBDAIJHH,34.341,0
JGFECGFAEFFB,43.503,0
CEIAHEFHDAEC,22.743,0
ABGGHADDEAFH,30.936,0
CGAIEACHHEIC,56.101,0
DFEEGDHGAICD,67.86,0
HGCFAAGIFGAD,95.175,0
FBFICAFHICGA,32.542,0
HDEJIACEGHBE,76.243,0
FFCFEHGEDDBJ,75.298,0
EIJFFHIBIJFJ,17.863,0
AGGGDAEEDGEC,79.486,0
FCDIABFBIIBJ,31.545,0
HBGICCJIIHFI,9.804,0
CHCFCDJHGHJJ,76.231,0
FGHHGCBJBAIB,73.15,0
JAIJIGBHGHIF,82.566,0
CGHBACGJFCID,68.132,0
ADEEDJCBDHBF,-2.462,0
IGBFHDDDABAD,54.77,0
IIHFBCIDHCJB,25.755,0
IGGADGCCGBHE,25.02,0
GDFCGCHGDGED,48.543,0
CJFFFIBGJAHC,87.859,0
FHFDHDCECGBG,71.684,0
CAJJABCDDEIB,33.601,0
HGEFDAJHIEBC,89.311,0
EFCAGEFGGJDA,67.328,0
EIBCJCICDABB,52.083,0
HBDHHDIIHEFH,71.265,0
